Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
tokens per iteration will be: 524,288
Training DataLoader: total number of tokens: 5000000000 across 50 files
Validation DataLoader: total number of tokens: 100000000 across 1 files
Initializing a new model from scratch
num decayed parameter tensors: 51, with 193,658,880 parameters
num non-decayed parameter tensors: 98, with 158,208 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: val loss 10.9773
iter 0: loss 10.9724, time 103275.43ms, lr 5.9880239520958085e-06, norm:  11.2570, tok/sec: 5076.59944383267
iter 1: loss 10.7970, time 1557.88ms, lr 1.1976047904191617e-05, norm:  10.7289, tok/sec: 336539.8794854101
iter 2: loss 10.5201, time 1533.88ms, lr 1.7964071856287426e-05, norm:  9.5490, tok/sec: 341805.5216399155
iter 3: loss 10.2566, time 1531.78ms, lr 2.3952095808383234e-05, norm:  6.8625, tok/sec: 342273.1076344929
iter 4: loss 10.0155, time 1531.13ms, lr 2.994011976047904e-05, norm:  4.5774, tok/sec: 342419.1408176428
iter 5: loss 9.7800, time 1530.37ms, lr 3.592814371257485e-05, norm:  3.4019, tok/sec: 342588.567407911
iter 6: loss 9.7423, time 1530.07ms, lr 4.1916167664670664e-05, norm:  2.6506, tok/sec: 342656.63060868357
iter 7: loss 9.7072, time 1529.84ms, lr 4.790419161676647e-05, norm:  2.2968, tok/sec: 342708.05627396906
iter 8: loss 9.5935, time 1529.57ms, lr 5.389221556886227e-05, norm:  2.0721, tok/sec: 342767.1374043684
iter 9: loss 9.4383, time 1528.89ms, lr 5.988023952095808e-05, norm:  2.0369, tok/sec: 342920.0629743658
iter 10: loss 9.4817, time 1528.45ms, lr 6.58682634730539e-05, norm:  1.9867, tok/sec: 343018.8609323588
