Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
tokens per iteration will be: 524,288
Training DataLoader: total number of tokens: 5000000000 across 50 files
Validation DataLoader: total number of tokens: 100000000 across 1 files
Initializing a new model from scratch
num decayed parameter tensors: 51, with 193,658,880 parameters
num non-decayed parameter tensors: 109, with 271,488 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: val loss 10.8264
iter 0: loss 10.8263, time 123498.25ms, lr 0.003, norm:  0.2779, tok/sec: 4245.307070299785
iter 1: loss 10.7744, time 1765.82ms, lr 0.0029999999259779676, norm:  0.4393, tok/sec: 296909.4811756789
iter 2: loss 10.6627, time 1754.16ms, lr 0.0029999997039118777, norm:  0.7482, tok/sec: 298882.22160951333
iter 3: loss 10.5828, time 1754.64ms, lr 0.002999999333801752, norm:  0.8900, tok/sec: 298801.6476110049
iter 4: loss 10.4555, time 1753.85ms, lr 0.002999998815647628, norm:  1.0445, tok/sec: 298935.56892614614
iter 5: loss 10.3215, time 1753.45ms, lr 0.002999998149449555, norm:  1.2220, tok/sec: 299004.4651067927
iter 6: loss 10.1857, time 1753.37ms, lr 0.0029999973352076007, norm:  1.4173, tok/sec: 299016.86572612193
iter 7: loss 10.0524, time 1752.15ms, lr 0.0029999963729218444, norm:  1.6091, tok/sec: 299225.7164777192
iter 8: loss 9.8666, time 1752.01ms, lr 0.002999995262592381, norm:  1.7275, tok/sec: 299249.3337795036
iter 9: loss 9.6944, time 1751.53ms, lr 0.002999994004219321, norm:  1.8802, tok/sec: 299331.61625139776
iter 10: loss 9.5046, time 1751.32ms, lr 0.0029999925978027877, norm:  2.0683, tok/sec: 299366.53887367493
iter 11: loss 9.3561, time 1752.00ms, lr 0.0029999910433429196, norm:  2.1927, tok/sec: 299251.4920981567
iter 12: loss 9.2203, time 1751.54ms, lr 0.002999989340839871, norm:  2.4318, tok/sec: 299329.33454334247
iter 13: loss 9.0002, time 1751.17ms, lr 0.00299998749029381, norm:  2.5848, tok/sec: 299392.5425703374
iter 14: loss 8.8441, time 1751.58ms, lr 0.0029999854917049183, norm:  2.7736, tok/sec: 299323.6711683164
iter 15: loss 8.7402, time 1751.56ms, lr 0.0029999833450733942, norm:  2.8436, tok/sec: 299326.0750207477
iter 16: loss 8.4536, time 1750.93ms, lr 0.0029999810503994486, norm:  2.9995, tok/sec: 299433.71753472934
iter 17: loss 8.4410, time 1750.52ms, lr 0.0029999786076833086, norm:  3.1624, tok/sec: 299504.5568138064
iter 18: loss 8.1477, time 1751.27ms, lr 0.0029999760169252153, norm:  3.2166, tok/sec: 299375.87196922576
iter 19: loss 8.1447, time 1750.92ms, lr 0.002999973278125424, norm:  3.2317, tok/sec: 299435.26691287546
iter 20: loss 8.2063, time 1750.39ms, lr 0.0029999703912842054, norm:  3.2749, tok/sec: 299525.93344819354
iter 21: loss 7.9500, time 1750.92ms, lr 0.0029999673564018448, norm:  3.2481, tok/sec: 299434.9814999069
iter 22: loss 7.7944, time 1751.32ms, lr 0.0029999641734786407, norm:  3.0996, tok/sec: 299366.78340150585
iter 23: loss 7.6941, time 1750.54ms, lr 0.0029999608425149075, norm:  2.6805, tok/sec: 299500.06973987626
iter 24: loss 7.7321, time 1751.29ms, lr 0.0029999573635109745, norm:  2.2630, tok/sec: 299373.30429102643
iter 25: loss 7.7370, time 1751.04ms, lr 0.0029999537364671846, norm:  1.4816, tok/sec: 299415.5746944094
iter 26: loss 7.7313, time 1751.50ms, lr 0.002999949961383896, norm:  0.7510, tok/sec: 299336.4242501049
iter 27: loss 7.7403, time 1751.64ms, lr 0.002999946038261481, norm:  0.5267, tok/sec: 299312.42654087784
iter 28: loss 7.6173, time 1751.36ms, lr 0.0029999419671003277, norm:  0.5763, tok/sec: 299360.6703255714
iter 29: loss 7.7176, time 1752.23ms, lr 0.0029999377479008366, norm:  1.8218, tok/sec: 299211.222186951
iter 30: loss 7.6641, time 1752.78ms, lr 0.0029999333806634246, norm:  1.9070, tok/sec: 299118.50824172277
iter 31: loss 7.9219, time 1752.39ms, lr 0.0029999288653885237, norm:  0.8890, tok/sec: 299185.37209232716
iter 32: loss 7.7821, time 1752.81ms, lr 0.0029999242020765774, norm:  1.6161, tok/sec: 299112.6494138937
iter 33: loss 7.5709, time 1753.81ms, lr 0.002999919390728048, norm:  1.5680, tok/sec: 298941.90848695126
iter 34: loss 7.6340, time 1753.94ms, lr 0.00299991443134341, norm:  0.6831, tok/sec: 298920.81829653366
iter 35: loss 7.7479, time 1753.47ms, lr 0.0029999093239231524, norm:  0.4487, tok/sec: 298999.9116949336
iter 36: loss 7.4845, time 1753.28ms, lr 0.0029999040684677786, norm:  0.3711, tok/sec: 299033.089728696
iter 37: loss 7.8357, time 1754.07ms, lr 0.0029998986649778085, norm:  0.5079, tok/sec: 298898.5528857949
iter 38: loss 7.6781, time 1754.84ms, lr 0.0029998931134537755, norm:  0.3631, tok/sec: 298767.0596091723
iter 39: loss 7.7565, time 1755.78ms, lr 0.002999887413896226, norm:  0.8946, tok/sec: 298607.21447932295
iter 40: loss 7.4892, time 1756.76ms, lr 0.0029998815663057244, norm:  0.7183, tok/sec: 298440.0471028143
iter 41: loss 7.6705, time 1757.36ms, lr 0.0029998755706828464, norm:  0.4702, tok/sec: 298337.6508243678
iter 42: loss 7.5859, time 1757.74ms, lr 0.0029998694270281846, norm:  0.5611, tok/sec: 298273.1477049555
iter 43: loss 7.5792, time 1757.33ms, lr 0.0029998631353423447, norm:  0.7639, tok/sec: 298342.7102787813
iter 44: loss 7.5450, time 1757.65ms, lr 0.0029998566956259483, norm:  0.4873, tok/sec: 298288.6437128364
iter 45: loss 7.6676, time 1757.66ms, lr 0.0029998501078796302, norm:  0.4875, tok/sec: 298286.8634107487
iter 46: loss 7.6454, time 1757.90ms, lr 0.002999843372104042, norm:  0.3832, tok/sec: 298246.3672785829
iter 47: loss 7.5358, time 1757.83ms, lr 0.0029998364882998464, norm:  0.7052, tok/sec: 298259.15008461435
iter 48: loss 7.5558, time 1757.65ms, lr 0.0029998294564677246, norm:  0.4783, tok/sec: 298288.7246361635
iter 49: loss 7.4892, time 1757.34ms, lr 0.00299982227660837, norm:  0.4908, tok/sec: 298341.1317105864
iter 50: loss 7.4678, time 1757.87ms, lr 0.002999814948722491, norm:  0.4174, tok/sec: 298252.2731224106
iter 51: loss 7.3096, time 1757.89ms, lr 0.002999807472810811, norm:  0.4755, tok/sec: 298247.82349232165
iter 52: loss 7.6332, time 1758.24ms, lr 0.002999799848874068, norm:  0.5111, tok/sec: 298188.57516618515
iter 53: loss 7.2943, time 1757.64ms, lr 0.0029997920769130144, norm:  0.2913, tok/sec: 298291.23328108207
